# piRNA Counts Matrix - Teefy et al. - PIWI-piRNA pathway-mediated Transposable Element Repression in Hydra Somatic Stem Cells
#----------------------------------------------------------------------------
# 
# abbreviations: 	ID = Identity of Transcript
#					AS = Antisense-oriented mapping
#					S = Sense-orieented mapping
#					WT = Wild Type i.e. untreated Hydra
#					Colch = Colchicine Treated Hydra Samples
# 
# ID - transcript name, as assigned in Siebert et al., 2019
# WT_Hyli_AS - raw Hyli antisense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hyli_S - raw Hyli sense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hywi_AS - raw Hywi antisense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hywi_S - raw Hywi sense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# Colch_Hyli_AS - raw Hyli antisense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hyli_S - raw Hyli sense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hywi_AS - raw Hywi antisense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hywi_S - raw Hywi sense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
#
#----------------------------------------------------------------------------
#
ID	WT_Hyli_AS	WT_Hyli_S	WT_Hywi_AS	WT_Hywi_S	Colch_Hyli_AS	Colch_Hyli_S	Colch_Hywi_AS	Colch_Hywi_S
t37376aep	126.67	102.78	641.14	2	10.97	0	27.7	4.99
t37377aep	62.7	0	0.62	1.11	64.55	12.47	277.59	255.81
t37382aep	0	0	0	0	0	0	0	0
t37378aep	14.01	16	404.96	13	0	3	5	8
t37379aep	0	23.07	36.2	0	0	0	6.98	0
t37375aep	2478.76	1008.66	63.75	18024.92	3288.06	385	70.86	9892.12
t37365aep	0	0	0	1	0	0	0	0
t37372aep	6139.06	30	221.99	16	3108.14	13	804.99	14
t37373aep	0	0	0	1	0	0	0	0
t32298aep	0	0	0	3	0	18	0	0
t32307aep	0	0	0	0	0	3	0	0
t32300aep	0	0	0	0	0	0	0	0
t32308aep	0	0	0	0	0	0	0	0
t32306aep	0	2.75	3.37	0	0	0	1.01	0
t32303aep	0	0	0	13	0	15	0	3.96
t32309aep	0	5	0	3	0	0	0	1
t32299aep	30.21	627	903.59	14.34	2.49	151.5	41.88	4
t32310aep	0	37	0	3	0	5	0	0
t32305aep	0	7	0	2	0	0	0	5.03
t32302aep	0	0	0	0	0	0	0	0
t32301aep	791.77	16	3	281	6664.81	6	291.55	99
t32304aep	0	2	0	18	0	1	0	9.95
t33476aep	0	0	0	0	0	0	0	0
t33482aep	0	0	0	0	0	0	0	0
t33480aep	0	12	0	5	0	25	0	4
t33477aep	0	0	0	28	0	0	0	1
t33471aep	0	1	0	6	0	0	0	0.98
t33469aep	187.58	0	1	12	41.98	0	4.99	1
t33470aep	110.92	4	2.97	4	141.96	0	2.03	2
t33472aep	0	0	0	0	917.84	7	26117.22	2
t33467aep	0	1	0	4	0	0	0	0
t33479aep	0	0	0	0	0	0	0	0
t33473aep	133.74	1631.7	2798.93	28	82.17	213	839.73	20.72
t33478aep	32.83	0	0	0	259.85	0	0	0
t33468aep	0	3	0	4	0	0	0	0
t33475aep	0	0	0	0	0	0	0	0
t33474aep	96.81	178.13	366.98	33.94	589.96	108.97	2624.01	146.39
t33481aep	0	0	0	0	0	0	0	0
t33076aep	1.45	15	54.63	0	15.99	0	50.95	5
t33081aep	21	152	544.7	2	89	10	1781.22	0
t33074aep	330.49	59.01	3.93	49.69	2035.27	0	2.44	9.36
t33075aep	0	84.33	0	10.39	0	8.07	0	0
t33079aep	0	1	0	1	0	0	0	0
t33080aep	0	17	0	6	0	13	0	0
t33083aep	0	0	0	0	0	0	45.19	0
t33086aep	0	0	0	0	0	0	0	0
t33084aep	0	0	0	0	0	0	0	2
t33085aep	0	0	0	0	0	0	0	0
t33077aep	0	0	0	0	0	0	0	0
t33078aep	257.29	4	16.13	0	294.16	0	141.8	19.95
t33082aep	0	0	0	0	0	0	0	0
t38019aep	12	3.6	90.07	0	0	0	2.07	0
t35251aep	11.73	0	1.64	0	2.64	0	19.51	0
t38023aep	0	0	0	0	0	0	0	0
t38017aep	0	0	0	0	0	0	0	0
t38018aep	87.28	2	7.88	20.96	4.97	0	0	0
t38022aep	0	0	0	0	0	0	0	0
t38020aep	0	0	0	0	0	0	0	0
t38015aep	0	11	0	9	0	2	0	2
t38016aep	0	10	0	7	0	27	0	0
t38021aep	0	1	0	0	0	13	0	2
t36732aep	0	0	0	0	0	0	0	0
t36731aep	0	0	0	0	0	0	0	0
t36730aep	0	0	0	0	0	0	0	0
t36728aep	0	1	0	2	0	0	0	3
t36729aep	0	0	0	0	0	0	0	0
t33587aep	10.96	115	74.68	19	16.3	226	124.32	0
t33586aep	0	0	0	0	0	0	0	0
t33581aep	0	8	0	1	0	3	0	13
t33588aep	17.99	281	320.9	0	0	39	109.34	5
t33578aep	2334.53	67	31.9	796.93	506.55	0	7.29	88
t33579aep	0	0	0	2	0	0	0	0
t33589aep	114516.25	335.42	347.4	5261.35	14476.2	156.97	3083.35	3383.33
t33583aep	0	0	0	0	0	0	0	0
t33580aep	0	0	0	0	0	0	0	0
t33585aep	0	3	0	0	0	9	0	0
t33584aep	0	0	0	16	0	26	0	10
t33582aep	0	0	0	0	0	0	0	0
t32805aep	0	2	0	0	2	0	0	0
t32813aep	0	2	0	0	0	0	0	0
t32812aep	624.39	1715	8750.71	18.88	348.58	2601.98	5872.73	12
t32816aep	84.32	2	512.6	1.24	12.8	9	22.33	9.96
t32817aep	0	0	0	0	0	0	0	0
t32806aep	0	0	0	0	0	0	0	0
t32818aep	0	0	0	0	0	0	0	1
t32807aep	0	0	0	0	0	0	0	6.52
t32814aep	0	7	0	0	0	10	0	0
