# piRNA Count Matrix  - Teefy et al. - PIWI-piRNA pathway-mediated transposable element repression in Hydra somatic stem cells
#----------------------------------------------------------------------------
#
# abbreviations: 	ID = Identity of Transcript
#					Colch = Colchicine Treated Hydra Samples
#					AS = Antisense-oriented mapping
#					S = Sense-orieented mapping
#					WT = Wild Type i.e. untreated Hydra
# 
# ID - Transcript name, as assigned in Siebert et al., 2018
# WT_Hyli_AS_Counts - raw Hyli antisense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hyli_S_Counts - raw Hyli sense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hywi_AS_Counts - raw Hywi antisense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hywi_S_Counts - raw Hywi sense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# Colch_Hyli_AS_Counts - raw Hyli antisense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hyli_S_Counts - raw Hyli sense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hywi_AS_Counts - raw Hywi antisense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hywi_S_Counts - raw Hywi sense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# 
#------------------------------------------------------------------------------------------------------------------------------------------------------
#
"ID" "WT_Hywi_AS_Counts" "WT_Hyli_AS_Counts" "WT_Hywi_S_Counts" "WT_Hyli_S_Counts" "Colch_Hywi_AS_Counts" "Colch_Hyli_AS_Counts" "Colch_Hywi_S_Counts" "Colch_Hyli_S_Counts"
"t10137aep" 0.776190476190476 34.4221117799262 37 4 6.45281385281385 52.6503468609088 159 20
"t10138aep" 0.5 7.31309523809524 24 14 1.35654761904762 37.4485902255639 19 10
"t10139aep" 0 3.93969958340668 19 4 3.25670498084291 0.564189189189189 19 0
"t1013aep" 36.0714285714286 1002.00320877952 1721.5 76 30.2833333333333 905.709523809524 123 7.5
"t10140aep" 0 2.31111111111111 0 0 2.59478021978022 0 0 0
"t10141aep" 0 2.02439024390244 0 0 0.671146953405018 0 0 0
"t10142aep" 0 29.25 0 0 0.178714859437751 13.0347014925373 0 0
"t10143aep" 3.9748438494355 45.9184772743596 179 25 12.6870763652723 89.0308676830416 2198 521
"t10144aep" 2.60343061955965 180.247993897917 12 14 120.366650161177 56.4639682539683 45 119
"t10145aep" 0.0769230769230769 5.30223214285714 39 28 5.30416666666667 18.25 9 170
"t10146aep" 0 5.08333333333333 0 0 1.16666666666667 0 0 0
"t10147aep" 0.5 0 0 0 0 2.66666666666667 0 0
"t10148aep" 0 0.473484848484849 0 0 0 2 0 0
"t10149aep" 1.68571428571429 2.16785714285714 0 0 0.166666666666667 3.33663366336634 0 0
"t1014aep" 5523.68333333333 286.034485835802 13.5 1390.16666666667 3996.27124601971 227.802574375979 5 434.333333333333
"t10150aep" 1 0.133333333333333 0 0 0.5 4.25 0 0
"t10151aep" 0 0.142857142857143 0 0 0 0 0 0
"t10152aep" 0 1.29166666666667 0 0 0.0588235294117647 0 0 0
"t10153aep" 0 3.33715012722646 0 0 0.0935354691075515 12.7985714285714 0 0
"t10154aep" 0 0.660714285714286 0 0 0 2.33333333333333 0 0
"t10155aep" 0.666666666666667 3.88419260478084 0 0 2.42726030703942 0.000693721817551162 0 0
"t10156aep" 1 4.5 0 0 0.166666666666667 26.1666666666667 0 0
"t10157aep" 0 1.6 0 0 0.590909090909091 63.45 0 0
"t10158aep" 0 3 0 0 2 0 0 0
"t10159aep" 1.125 4.18840579710145 1 21 2.74208968731617 2 1 0
"t1015aep" 915 54.7261904761905 2.5 58.8333333333333 274.033333333333 50 0 45.8333333333333
"t10160aep" 0 0.823412698412698 0 0 1.26612903225806 10.25 0 0
"t10161aep" 2 12.2222222222222 0 0 0 0 0 0
"t10162aep" 1 0 0 0 0.25 2.5 0 7
"t10163aep" 0 1.125 0 0 0 0 0 0
"t10164aep" 0 1.52840909090909 0 1 2.0292735042735 9.89901223268038 0 0
"t10165aep" 6.22222222222222 0.5 0 0 11.5051546391753 0 0 0
"t10166aep" 0 0 0 0 0 1.59615384615385 0 0
"t10167aep" 511.266129032258 30.0322580645161 0 7 24.2777777777778 0 0 0
"t10168aep" 0 0.0625 0 0 0.5625 0.333333333333333 0 0
"t10169aep" 0 0.4 0 0 0 0 0 0
"t1016aep" 713.305555555556 113.625 13.8333333333333 6208 2517.59768444275 102.833333333333 12.5 714.833333333333
"t10170aep" 0 20.7977564102564 0 0 4.04545454545455 0.5 0 0
"t10171aep" 0 3.26383590675144 1 0 3.60541125541126 28.012012012012 0 0
"t10172aep" 1.26666666666667 1.06673114119923 0 0 3.16666666666667 3 0 0
"t10173aep" 0 0 0 0 1.25 0.5 0 0
"t10174aep" 232.833333333333 106.833333333333 0 0 244.683501683502 20.3333333333333 0 0
"t10175aep" 0 3.78376951520977 0 0 1.33333333333333 0.302898550724638 0 0
"t10176aep" 0.5 6 0 0 1.375 0 0 0
"t10177aep" 0.833333333333333 4 0 0 0 0 0 0
"t10178aep" 40.5 2.41025641025641 0 4 6.0625 0 0 0
"t10179aep" 0 5 0 0 0.5 3.66666666666667 0 0
"t1017aep" 848.866666666667 71.7261904761905 59.3333333333333 32518.5 2186.95508331538 237.466666666667 1.5 1649.16666666667
"t10180aep" 0 2 0 0 1 0 0 0
"t10181aep" 3.66666666666667 1.58333333333333 0 0 82.5416666666667 9 0 0
"t10182aep" 0.222222222222222 0 0 0 0.0476190476190476 0 0 0
"t10183aep" 0 1.325 0 0 0 0 0 0
"t10184aep" 0 1.44358974358974 0 0 0 0.8 0 0
"t10185aep" 2.51666666666667 20.7112244897959 0 0 59.4048471294676 5 0 0
"t10186aep" 0.0869565217391304 2.20238095238095 0 0 2.54285714285714 5.16666666666667 0 0
"t10187aep" 1.63333333333333 22.9747715247715 8 42 11.5537749287749 131.460317460317 41 0
"t10188aep" 26.000936329588 21.4128216164715 0 0 6.13647092078298 16.2457437187137 1 0
"t10189aep" 0.1625 1.64285714285714 5 10 1.35555555555556 3.2 1 9
"t1018aep" 477.083333333333 51.2556022408964 13.5 6677.5 1282.78717948718 96.6214285714286 25.5 6230.83333333333
"t10190aep" 1 1.17275132275132 0 9 1.95714285714286 0 9.5 0
"t10191aep" 3.56666666666667 6.34285714285714 0 0 5.47047239310397 16.0125 0 0
"t10192aep" 6.99166666666667 121.324759816207 10 35 5.40629819455938 35.1465800865801 34 21
"t10193aep" 3.6194511634265 75.3838336996889 73 38 15.045654263876 45.4133172830753 853 7
"t10194aep" 2.89285714285714 14.0137855180836 106 610 7.5794889576443 12.6379176379176 176 162
"t10195aep" 5.00333142632281 15.1968522449263 6 262 77.9537942392607 13.1111111111111 1 34
"t10196aep" 166.222222222222 20 0 183 13 2 0 12
"t10197aep" 2.14506833036245 23.3008021390374 1 13 6.99666305916306 21 1 4
"t10198aep" 12.5 2.09090909090909 0 0 47.3333333333333 13.5 0 0
"t10199aep" 2.70833333333333 3.40839451871345 23.5 112 1.33333333333333 3 50.5 77
"t1019aep" 94.6134099616858 2.58690476190476 6.5 281.5 23.1301948051948 10 0.5 88.5
"t101aep" 0 4.7969298245614 0 0 1.83333333333333 11.6 0 0
"t10200aep" 0.5 5.66666666666667 1 8 0.186274509803922 5 1 14
"t10201aep" 1.71298701298701 10.9274725274725 74 91 4.63449883449883 4.13333333333333 194 50
