# Ping Pong Matrix  - Teefy et al. - PIWI-piRNA pathway-mediated transposable element repression in Hydra somatic stem cells
#----------------------------------------------------------------------------
#
# abbreviations: 	ID = Identity of Transcript
#					Ping_Pong = Reciprocal method of PIWI-mediated RNA destruction
#					Inverse = Ping-Pong between non-canonical PIWI pairs (i.e. Hywi S/Hyli AS)
#					Epi = Epithelial
#					Whole =  Occuring in the whole or WT Hydra
# 
# ID - Transcript name, as assigned in Siebert et al., 2018
# Whole_Ping_Pong - TRUE if at least one Hywi AS/Hyli S Ping-Pong hit occurs on the transcript in whole Hydra, else FALSE
# Epi_Ping_Pong - TRUE if at least one Hywi AS/Hyli S Ping-Pong hit occurs on the transcript in epithelial Hydra, else FALSE
# Whole_Ping_Pong_Inverse - TRUE if at least one Hywi S/Hyli AS Ping-Pong hit occurs on the transcript in whole Hydra, else FALSE
# Epi_Ping_Pong_Inverse - TRUE if at least one Hywi S/Hyli AS Ping-Pong hit occurs on the transcript in epithelial Hydra, else FALSE
# 
#------------------------------------------------------------------------------------------------------------------------------------------------------
#
"ID" "Whole_Ping_Pong" "Epi_Ping_Pong" "Whole_Ping_Pong_Inverse" "Epi_Ping_Pong_Inverse"
"145" "t10130aep" FALSE FALSE FALSE FALSE
"146" "t10131aep" FALSE FALSE FALSE FALSE
"147" "t10132aep" FALSE FALSE FALSE FALSE
"148" "t10133aep" FALSE FALSE FALSE FALSE
"149" "t10134aep" FALSE FALSE FALSE FALSE
"150" "t10135aep" FALSE FALSE FALSE FALSE
"151" "t10136aep" FALSE FALSE FALSE FALSE
"152" "t10137aep" FALSE FALSE FALSE FALSE
"153" "t10138aep" FALSE FALSE FALSE FALSE
"154" "t10139aep" FALSE FALSE FALSE FALSE
"155" "t1013aep" FALSE FALSE FALSE FALSE
"156" "t10140aep" FALSE FALSE FALSE FALSE
"157" "t10141aep" FALSE FALSE FALSE FALSE
"158" "t10142aep" FALSE FALSE FALSE FALSE
"159" "t10143aep" FALSE FALSE FALSE FALSE
"160" "t10144aep" FALSE FALSE FALSE FALSE
"161" "t10145aep" FALSE FALSE FALSE FALSE
"162" "t10146aep" FALSE FALSE FALSE FALSE
"163" "t10147aep" FALSE FALSE FALSE FALSE
"164" "t10148aep" FALSE FALSE FALSE FALSE
"165" "t10149aep" FALSE FALSE FALSE FALSE
"166" "t1014aep" FALSE FALSE FALSE FALSE
"167" "t10150aep" FALSE FALSE FALSE FALSE
"168" "t10151aep" FALSE FALSE FALSE FALSE
"169" "t10152aep" FALSE FALSE FALSE FALSE
"170" "t10153aep" FALSE FALSE FALSE FALSE
"171" "t10154aep" FALSE FALSE FALSE FALSE
"172" "t10155aep" FALSE FALSE FALSE FALSE
"173" "t10156aep" FALSE FALSE FALSE FALSE
"174" "t10157aep" FALSE FALSE FALSE FALSE
"175" "t10158aep" FALSE FALSE FALSE FALSE
"176" "t10159aep" FALSE FALSE FALSE FALSE
"177" "t1015aep" FALSE FALSE FALSE FALSE
"178" "t10160aep" FALSE FALSE FALSE FALSE
