# Differential Gene Expression Count Matrix - Teefy et al. - PIWI-piRNA pathway-mediated Transposable Element Repression in Hydra Somatic Stem Cells
#----------------------------------------------------------------------------
# 
# abbreviations: 	ID = Transcript Identification
#					WT = Wild-type Hydra
#					KD = Somatic hywi Knockdown Hydra
#
# ID - transcript name, as assigned in Siebert et al., 2019
# WT1 - Counts from WT1 replicate
# WT2 - Counts from WT2 replicate
# WT3 - Counts from WT3 replicate
# KD1 - Counts from KD1 replicate
# KD2 - Counts from KD2 replicate
# KD3 - Counts from KD3 replicate
#
#----------------------------------------------------------------------------
#					
""	"ID"	"WT1"	"WT2"	"WT3"	"KD1"	"KD2"	"KD3"
"289"	"t10258aep"	6617.37	6194.74	5768.76	7729.23	6000.79	6376.7
"290"	"t10259aep"	551.09	647	593	834.07	729.93	566
"291"	"t1025aep"	50.62	67.66	34.43	92.6	59.1	64.53
"292"	"t10260aep"	305	434	307	404	339	432.44
"293"	"t10261aep"	1580.89	2168.89	2072.66	1912.92	2168.01	2013.93
"294"	"t10262aep"	2022.01	3063.04	3069.13	2185.94	2575.01	3002
"295"	"t10263aep"	0	0	0	0	0	0
"296"	"t10264aep"	0	0	0	0	0	0
"297"	"t10265aep"	51	22	25	135.69	92	30
"298"	"t10266aep"	314.76	251.05	275.35	486.02	365.95	171.64
"299"	"t10267aep"	865	961.98	629	1126	928.02	1056
"300"	"t10268aep"	1140.53	942	751.93	1538.02	999.01	1342.33
"301"	"t10269aep"	0	0	0	0	0	0
"302"	"t1026aep"	15.71	11.35	9.61	28.9	8.99	18.37
"303"	"t10270aep"	1132	1497	1263	1338.08	1415	1635.16
"304"	"t10271aep"	2037.98	3326	2679.79	2642.28	2929.92	2655.89
"305"	"t10272aep"	351	380	345	458	390	454
"306"	"t10273aep"	0	0	0	0	0	0
"307"	"t10274aep"	20	14	12	23	7	22
"308"	"t10275aep"	1	3	1	4	7	4
"309"	"t10276aep"	1	0	2	2	1	3
"310"	"t10277aep"	2.16	3.03	3	4.61	2	2.05
"311"	"t10278aep"	0	1	0	1	1.61	1
"312"	"t10279aep"	0	0	0	0	0	0
"313"	"t1027aep"	28.29	16.18	33.39	54.08	21.01	27.43
"314"	"t10280aep"	3	2	3	2	1	1
"315"	"t10281aep"	0	0	0	0	0	0
"316"	"t10282aep"	0	0	0	0	0	0
"317"	"t10283aep"	6	2	1	1	5	3
"318"	"t10284aep"	2	1.79	4	1	0	1.81
"319"	"t10285aep"	0	0	0	0	0	0
"320"	"t10286aep"	2	0	2	2	1	1
"321"	"t10287aep"	0	0	0	0	0	0
"322"	"t10288aep"	26	34	27	43	30	29
"323"	"t10289aep"	0.87	2	4	1	2	1.06
"324"	"t1028aep"	4.57	5.53	5	11.55	3.5	3.33
"325"	"t10290aep"	5	9	3	3.99	8	9
"326"	"t10291aep"	0	0	0	0	0	0
"327"	"t10292aep"	0	0	0	0	1	0
"328"	"t10293aep"	6	4	2.99	0.46	1.98	1.01
"329"	"t10294aep"	0	0	0	0	0	0
"330"	"t10295aep"	0	0	4	1	0	0
"331"	"t10296aep"	0	0	0	0	0	0
"332"	"t10297aep"	2	3	1	3	3	2
"333"	"t10298aep"	1	2	1	0	1	2
"334"	"t10299aep"	0	0	0	0	0	0
"335"	"t1029aep"	12.05	8.53	3.91	13.14	7.5	10.49
"336"	"t102aep"	104.72	94.72	69	110.81	137.86	96.91
"337"	"t10300aep"	0	0	0	0	0	0
"338"	"t10301aep"	0	0	0	0	0	0
"339"	"t10302aep"	0	0	0	0	0	0
"340"	"t10303aep"	10	13	14	14	10	16
"341"	"t10304aep"	1	5	3	6	2	5.87
"342"	"t10305aep"	5	10	3	5	5	2
"343"	"t10306aep"	0	0	0	0	0	0
"344"	"t10307aep"	7	9	7	9.05	9	17
"345"	"t10308aep"	3	4	2	3	4	5
"346"	"t10309aep"	0	0	0	0	0	0
"347"	"t1030aep"	10.58	6.19	7.42	8.47	6.28	11.32
"348"	"t10310aep"	3.91	1	2	8.98	3	3.25
"349"	"t10311aep"	2	6	1	1	2	4
"350"	"t10312aep"	0	0	0	0	0	0
"351"	"t10313aep"	2	5	2	8	5	2
"352"	"t10314aep"	0	0	0	0	0	0
"353"	"t10315aep"	0	1	0	2	2	3
"354"	"t10316aep"	512.11	662.98	583	529	596.99	579
"355"	"t10317aep"	4	3	4	7	3	4
"356"	"t10318aep"	3	8	0.99	4	1	9.54
"357"	"t10319aep"	0	0	0	0	0	0
"358"	"t1031aep"	2	1	5	3.65	4	4
"359"	"t10320aep"	366	490.95	449	497.66	473	438.27
"360"	"t10321aep"	0	0	0	0	0	0
"361"	"t10322aep"	0	0	0	0	0	0
"362"	"t10323aep"	3.27	4	3	13.97	8	13
"363"	"t10324aep"	2	3	1	1	1	3
"364"	"t10325aep"	3	1	1	3	3	2
"365"	"t10326aep"	0	0	0	0	0	0
"366"	"t10327aep"	0	0	0	0	0	0
"367"	"t10328aep"	5	7	8	14	6	10
"368"	"t10329aep"	3	3	1	2	2	2
"369"	"t1032aep"	20	24.99	17	43	24	28
"370"	"t10330aep"	0	0	0	0	0	0
"371"	"t10331aep"	613.87	841.03	779.16	725.16	792	785.54
"372"	"t10332aep"	12.26	8.91	5.65	8.47	16.05	10.72
"373"	"t10333aep"	0	0	0	0	0	0
"374"	"t10334aep"	9408.91	10286.51	6983.99	13130.06	10579.42	11521.21
"375"	"t10335aep"	0	0	0	0	0	0
"376"	"t10336aep"	1	0	0.06	1	0	2
"377"	"t10337aep"	0	0	0	0	0	0
"378"	"t10338aep"	1.81	3.62	3.02	7	6	3.36
"379"	"t10339aep"	0.19	1.38	2.98	0	0	0.64
"380"	"t1033aep"	8	17.58	10.02	18.94	16.34	12.81
"381"	"t10340aep"	1846.99	2301.15	1742.01	2945.15	2264.59	2954.59
"382"	"t10341aep"	87	207	116	131	159	148
