# Differential Gene Expression Count Matrix - Teefy et al. - PIWI-piRNA pathway-mediated Transposable Element Repression in Hydra Somatic Stem Cells
#----------------------------------------------------------------------------
# 
# abbreviations: 	ID = Transcript Identification
#					WT = Wild-type Hydra
#					KD = Somatic hywi Knockdown Hydra
#
# ID - transcript name, as assigned in Siebert et al., 2019
# WT1 - Counts from WT1 replicate
# WT2 - Counts from WT2 replicate
# WT3 - Counts from WT3 replicate
# KD1 - Counts from KD1 replicate
# KD2 - Counts from KD2 replicate
# KD3 - Counts from KD3 replicate
#
#----------------------------------------------------------------------------
#					
""	"ID"	"WT1"	"WT2"	"WT3"	"KD1"	"KD2"	"KD3"
"18824"	"t26940aep"	0	0	0	0	0	0
"18825"	"t26941aep"	0	0	0	0	0	0
"18826"	"t26942aep"	0	0	0	0	0	0
"18827"	"t26943aep"	0	4.88	1	2	3	3
"18828"	"t26944aep"	5	1	0	2	0	0
"18829"	"t26945aep"	2	2	0	1	0	1
"18830"	"t26946aep"	0	0	0	0	0	0
"18831"	"t26947aep"	0	0	0	0	0	0
"18832"	"t26948aep"	14.79	7	5.34	8.36	7.85	12
"18833"	"t26949aep"	1	0	2	3	2	3
"18834"	"t2694aep"	29.2	27.55	18.12	47.78	38.55	20.4
"18835"	"t26950aep"	6.27	11.57	2	6	8	8
"18836"	"t26951aep"	2	1	2	1	1	1
"18837"	"t26952aep"	1	1	1	0	0	1
"18838"	"t26953aep"	0	1	3	6	4	0
"18839"	"t26954aep"	2.05	4.14	0	3.09	1	2
"18840"	"t26955aep"	1.37	0	0	2	0	2.17
"18841"	"t26956aep"	14.17	14.25	12.65	91.27	57	15.27
"18842"	"t26957aep"	1043	1342	1253	1306	1316.71	1355
"18843"	"t26958aep"	725	959	883.82	991	899.38	1003
"18844"	"t26959aep"	4	18	13	20	19.11	15
"18845"	"t2695aep"	69	76	55.99	77.67	65	83.07
"18846"	"t26960aep"	6.71	5.32	1.19	11.95	9.53	7.53
"18847"	"t26961aep"	26	52	30	29.97	44.99	34
"18848"	"t26962aep"	107	163	117	140	151.93	136.99
"18849"	"t26963aep"	5.46	2.99	3	22.86	9	3.01
"18850"	"t26964aep"	21	37.57	27.98	19	25.26	32.04
"18851"	"t26965aep"	355	283	249	459	302.95	397.99
"18852"	"t26966aep"	15.65	8	6.38	17.29	8	8.32
"18853"	"t26967aep"	3.16	4.62	6.49	6.71	3.27	10.93
"18854"	"t26968aep"	6.98	11	14.5	22.37	6.79	15.6
"18855"	"t26969aep"	2311.47	3032.02	3018.82	2768.8	2942	2734.07
"18856"	"t2696aep"	3	7	3	8	7	6
"18857"	"t26970aep"	0	4.35	0	3.15	1.48	1.52
"18858"	"t26971aep"	1	1	2	2	0	1.99
"18859"	"t26972aep"	61	153.74	149	75	174	115
"18860"	"t26973aep"	166.02	172	134	243	208.16	183.17
"18861"	"t26974aep"	0	0	0	0	0	0
"18862"	"t26975aep"	120.15	108	72.78	161.99	102.6	111
"18863"	"t26976aep"	0	0	0	0	0	0
"18864"	"t26977aep"	51	31	31	44	36.61	52
"18865"	"t26978aep"	3.38	3	1.08	11.99	7	13.27
"18866"	"t26979aep"	16	35	18	19	25	27
"18867"	"t2697aep"	51.94	60.42	42.69	85.63	71	69.55
"18868"	"t26980aep"	246	215	237	254	220	186
"18869"	"t26981aep"	136.94	126.49	86.14	171.22	126.06	149.42
"18870"	"t26982aep"	21	32	22	27	39	18
"18871"	"t26983aep"	8.01	4	3	6	2	7
"18872"	"t26984aep"	202	234.97	187.9	277	193	257
"18873"	"t26985aep"	6	5	5	7	9.01	7
"18874"	"t26986aep"	635.49	304.07	256.79	866.85	350.63	396.99
"18875"	"t26987aep"	15	25	14	16.26	29.31	26.74
"18876"	"t26988aep"	30	35	25	32	18	41
"18877"	"t26989aep"	3	3	8	5	2	2
"18878"	"t2698aep"	0	0	0	0	0	0
"18879"	"t26990aep"	12	5.63	3.99	10	1	10
"18880"	"t26991aep"	0	4	0	0	0	1
"18881"	"t26992aep"	0	0	0	0	0	0
"18882"	"t26993aep"	250	360	272	327	331	271.01
"18883"	"t26994aep"	45	44	43	60	42	64
"18884"	"t26995aep"	443	521.83	428	610	510	610
"18885"	"t26996aep"	87.71	101.98	56.88	139.03	105.27	118.78
"18886"	"t26997aep"	0	0	0	0	0	0
"18887"	"t26998aep"	4108.5	4722.88	4046.76	5499.49	4807.27	5132.62
"18888"	"t26999aep"	432	460.74	458.4	482.03	512.24	428.84
"18889"	"t2699aep"	1	3	4	5.96	4	3
"18890"	"t269aep"	13.35	10.9	10.58	7	11	6
"18891"	"t26aep"	0	0	0	0	0	0
"18892"	"t27000aep"	1471.32	2283	1858	1931.99	1998	2273.1
"18893"	"t27001aep"	1288	738	590	2610.37	1858.62	889.95
"18894"	"t27002aep"	19	7	9	35	13	13
"18895"	"t27003aep"	3.85	4.36	4.51	3.9	3.47	2.31
"18896"	"t27004aep"	0	0	0	2.92	0	0
"18897"	"t27005aep"	0	0	0	0	0	0
"18898"	"t27006aep"	1905.97	1398	1087	2466	1543.49	1679.05
"18899"	"t27007aep"	107.01	156.83	140	167.97	155	123.01
"18900"	"t27008aep"	14	13	12	14	21	8
"18901"	"t27009aep"	8	1	10	56.07	3	7
"18902"	"t2700aep"	7	8.4	9.73	7.13	10.6	6.83
"18903"	"t27010aep"	0	0	0	0	0	0
"18904"	"t27011aep"	3	6	1	5	2	4
"18905"	"t27012aep"	0	0	0	0	0	0
"18906"	"t27013aep"	4456.26	5348.9	4314.04	5119.41	4558.7	5197.71
"18907"	"t27014aep"	595.01	428	308	672.51	410	526.7
"18908"	"t27015aep"	192.11	170.43	154.71	306.45	174.25	206.52
"18909"	"t27016aep"	379.94	343.03	319.99	558.51	417.78	435.97
"18910"	"t27017aep"	0	3	1	4	0	2
"18911"	"t27018aep"	187	166.8	118.02	275.1	194.9	209
"18912"	"t27019aep"	157.03	211.98	151.97	291.34	215.44	263.25
"18913"	"t2701aep"	17.98	43.97	27	43.8	38.01	30
"18914"	"t27020aep"	36.55	34.78	43.92	80.69	41.55	58
"18915"	"t27021aep"	69.66	86.83	72.12	101.93	79.43	95.88
"18916"	"t27022aep"	15.01	16	14.14	35.72	17.05	29.01
"18917"	"t27023aep"	4.02	4.17	0.96	7.64	3.73	1.31
"18918"	"t27024aep"	4361.7	7244.14	4887.23	8056.17	6712	8095.89
"18919"	"t27025aep"	23.39	33.88	18.59	40.3	31.68	34.44
"18920"	"t27026aep"	122.68	136.36	95.42	135.69	121.72	158.59
"18921"	"t27027aep"	82.58	65.26	52.09	74.77	59	76.11
"18922"	"t27028aep"	5.45	4.18	0.95	6.01	2.99	3.11
"18923"	"t27029aep"	28.43	32.66	18.43	61.11	25.54	39.88
"18924"	"t2702aep"	0	0	0	0	0	0
"18925"	"t27030aep"	255.94	332.21	266.74	388.48	354.17	493.15
"18926"	"t27031aep"	20.46	16.31	8.13	24.86	18.73	21.51
"18927"	"t27032aep"	95	101	75	123	73	99.23
"18928"	"t27033aep"	1328.23	218.69	181.81	4666.75	1848.97	704.13
"18929"	"t27034aep"	223.79	200.59	117.68	330.66	205.83	249.2
"18930"	"t27035aep"	5.13	3	0	0	0.32	0
"18931"	"t27036aep"	559.37	657.84	462.15	594.57	570.51	611.57
"18932"	"t27037aep"	858.55	812.81	667.13	1390.4	1054.26	891.92
"18933"	"t27038aep"	169.86	142.04	124.51	239	167.25	129.72
"18934"	"t27039aep"	283.46	261.36	202.13	369.15	256.34	318.69
"18935"	"t2703aep"	21.63	30.5	28.65	53.47	40.97	24.07
"18936"	"t27040aep"	331.05	361.2	211.52	546.26	370.86	420.92
"18937"	"t27041aep"	29.35	56.77	31.42	54.74	40.51	42.52
"18938"	"t27042aep"	215.62	243.57	159.85	297.83	267.07	235.4
"18939"	"t27043aep"	25.9	34.67	23.55	27.61	31.74	54.23
"18940"	"t27044aep"	5.98	6.24	10.65	7.64	11.76	10.43
"18941"	"t27045aep"	6.88	11.16	5.74	17.39	19.1	9.6
"18942"	"t27046aep"	349.9	432.39	345.87	577.32	456.64	484.22
"18943"	"t27047aep"	49.03	41.43	9.13	57.78	40.15	37.98
"18944"	"t27048aep"	5.35	7.56	4.53	8.82	5.32	11.85
"18945"	"t27049aep"	235.92	262.47	168.19	308.42	208.91	288.14
"18946"	"t2704aep"	123.25	100.52	61.49	148.31	100.24	78.72
"18947"	"t27050aep"	3.39	3.41	3.94	3.32	2.99	0.99
"18948"	"t27051aep"	29.08	23.35	27.63	55.81	33.3	38.01
"18949"	"t27052aep"	4.41	6.84	6.84	12.7	6.46	16.91
"18950"	"t27053aep"	29.83	28	12	38.79	21.19	32.41
"18951"	"t27054aep"	40.49	36.01	28.46	57.44	64.14	31.38
"18952"	"t27055aep"	87.22	75.21	62.06	131.07	77.99	101.61
"18953"	"t27056aep"	147.45	202.69	132.32	213.15	226.02	232.42
"18954"	"t27057aep"	48.23	44.39	32.84	70	45.79	64.22
"18955"	"t27058aep"	74.06	66.37	68.54	111.21	73.72	76.63
"18956"	"t27059aep"	12.37	17.36	16.35	37.91	42.91	30.69
"18957"	"t2705aep"	86.24	79.33	64.74	167.47	110.91	67.63
"18958"	"t27060aep"	78.68	86.42	79.52	131.41	81.82	137.05
"18959"	"t27061aep"	85.22	101.39	101.78	156.44	125.14	133.65
"18960"	"t27062aep"	23.84	19.65	14.82	34.43	21.21	20.84
"18961"	"t27063aep"	1249.76	1352.15	1043.85	1711.61	1425.96	1725.94
"18962"	"t27064aep"	317.53	233.34	195.9	551.78	269.69	290.15
"18963"	"t27065aep"	85.58	68.71	53.48	112.56	80.11	76.35
"18964"	"t27066aep"	38.58	33.15	9.93	41.45	33.07	40.34
"18965"	"t27067aep"	671.89	649.39	414.53	932.78	661.08	764.55
"18966"	"t27068aep"	29	32	22	50	26.99	43
"18967"	"t27069aep"	15	10.98	10	29.21	17.9	13.18
"18968"	"t2706aep"	243.12	201.62	131.44	310.96	252.54	213.44
"18969"	"t27070aep"	69.62	94.03	62.21	101.18	87.01	110.72
"18970"	"t27071aep"	125.68	126.77	100.23	123.62	124.63	151.34
"18971"	"t27072aep"	7.2	16.95	7.08	20.49	22.24	26.22
"18972"	"t27073aep"	12.3	25.48	17.82	31.06	34.48	33.42
"18973"	"t27074aep"	7.2	8.37	10.4	10.07	10.19	13.8
"18974"	"t27075aep"	46.19	42.42	26.23	38.56	36.53	59.59
"18975"	"t27076aep"	3577.3	2117.72	1826.31	4439.62	1955.74	3208.3
"18976"	"t27077aep"	6.31	4.16	4.9	4.33	8.04	8.54
"18977"	"t27078aep"	62.38	63.47	42.16	69.75	65.58	80.3
"18978"	"t27079aep"	45.1	32.85	26.73	42.7	32.68	51.04
"18979"	"t2707aep"	0	0	0	0	0	0
"18980"	"t27080aep"	73.23	75.21	64.91	102.74	112.65	118.4
"18981"	"t27081aep"	8.58	10.09	10.06	11.98	14.8	9.89
"18982"	"t27082aep"	20.18	14.65	6.41	6.93	11.63	13.74
"18983"	"t27083aep"	20.93	11.94	3.69	25.05	14.48	12.82
"18984"	"t27084aep"	18.59	16.63	7.4	29.76	17.45	10.4
"18985"	"t27085aep"	51.08	38.07	27.09	78.29	42.17	49.18
"18986"	"t27086aep"	9.43	3.36	1.68	10.27	4.19	0
"18987"	"t27087aep"	21.61	4.51	2.54	17.92	1.21	5.68
"18988"	"t27088aep"	303.23	219.88	163.69	326.63	243.02	241.97
"18989"	"t27089aep"	0	0	0	0	0	0
"18990"	"t2708aep"	101	102	117.85	123	75.59	94
"18991"	"t27090aep"	209.49	201.85	128.68	289.73	219.89	170.59
"18992"	"t27091aep"	129.33	73.9	82.4	172.58	137.02	118.39
"18993"	"t27092aep"	97.58	79.98	39.19	97.73	63.89	50.61
"18994"	"t27093aep"	242.87	171.59	144.89	265.79	172.23	204.41
"18995"	"t27094aep"	2176	988.03	840	6283.67	2012	1630.29
"18996"	"t27095aep"	32747.68	39357.82	38580.19	35259.14	37201.09	37144.3
"18997"	"t27096aep"	4	3	1	5	3	5
"18998"	"t27097aep"	4	6	3	5.17	4	4
"18999"	"t27098aep"	3323	4464	4039.05	4358	4278.03	4218.31
"19000"	"t27099aep"	0	0	0	0	0	0
"19001"	"t2709aep"	4.06	5.07	2.12	5.23	4.2	4.06
"19002"	"t270aep"	2	0	0	0	1	0
"19003"	"t27100aep"	125	175	129.72	181.99	167	189
"19004"	"t27101aep"	619.69	794.85	985.02	674.57	767.37	830.81
"19005"	"t27102aep"	7.84	3.92	4.48	9.63	3.77	9.92
"19006"	"t27103aep"	1	2	2	2.86	1.99	5.01
"19007"	"t27104aep"	0	3.22	3.74	5.77	6.28	8.19
"19008"	"t27105aep"	22	20.78	5.26	14.23	16.72	22.81
"19009"	"t27106aep"	0	0	0	0	0	0
"19010"	"t27107aep"	5	3	4	6	4	4
"19011"	"t27108aep"	9.99	11	5.22	12.68	10.52	10.04
"19012"	"t27109aep"	184	258.79	234	225	275.01	244
"19013"	"t2710aep"	899.84	772.71	747.68	1339.4	706.65	888.04
"19014"	"t27110aep"	0	0	0	0	0	3
"19015"	"t27111aep"	20.93	23.62	15.46	14.58	17.64	14.98
"19016"	"t27112aep"	7	12	7	10	7.74	10.99
"19017"	"t27113aep"	574.94	741.82	485	739	663.9	741.88
"19018"	"t27114aep"	17	20	13	21	13	18
"19019"	"t27115aep"	2897.63	2612.82	1901.77	3378.76	2395.63	3641.81
"19020"	"t27116aep"	27.97	35.63	13.98	30.49	22	24
"19021"	"t27117aep"	152	197	153	200	186	197
"19022"	"t27118aep"	281	287	312.07	314	254	350
"19023"	"t27119aep"	17	17	12	29	22	32.9
"19024"	"t2711aep"	0	1.6	0	3.93	1.39	0
"19025"	"t27120aep"	1.55	6.88	6.56	3.9	4.31	13.55
"19026"	"t27121aep"	20.45	17.12	16.44	15.1	13.69	20.45
"19027"	"t27122aep"	9.49	6.33	2.99	3.93	11.23	6.72
"19028"	"t27123aep"	0	0	0	0	0	0
"19029"	"t27124aep"	6	11	9	10	8	11
"19030"	"t27125aep"	76.23	94.62	59.24	109.27	112.91	144.15
"19031"	"t27126aep"	0	0	0	0	0	0
"19032"	"t27127aep"	0	0	0	0	0	0
"19033"	"t27128aep"	12	15.99	9.46	18.27	18.73	8
"19034"	"t27129aep"	7245.98	10973.79	10067.5	8086.95	9965.21	10939.64
"19035"	"t2712aep"	5	3.4	4	7.8	4.35	2.1
"19036"	"t27130aep"	242	287	238	298	271.01	278.94
"19037"	"t27131aep"	0	0	0	0	0	0
"19038"	"t27132aep"	250.47	272	275	314.56	248.69	345.46
"19039"	"t27133aep"	0	0	0	0	0	0
"19040"	"t27134aep"	1260	1000.98	772	1945.08	1141.94	1343.64
"19041"	"t27135aep"	618	873	809.99	727.24	773	819
"19042"	"t27136aep"	0	0	0	0	0	0
"19043"	"t27137aep"	10	8	7	12	5	8.31
"19044"	"t27138aep"	5	10	4	6.29	7	6
"19045"	"t27139aep"	310.14	629.12	663.36	309.73	609.12	632.89
"19046"	"t2713aep"	5	6.96	7	11.18	4.26	6.99
"19047"	"t27140aep"	51	165	90.95	87	118	130
"19048"	"t27141aep"	466.08	801.57	696.08	548.36	679.34	686.97
"19049"	"t27142aep"	0	1	2	1	1	0
"19050"	"t27143aep"	542.04	609.76	636	693.01	622.99	603
"19051"	"t27144aep"	0	0	0	0	0	0
"19052"	"t27145aep"	0	0	0	0	0	0
"19053"	"t27146aep"	930.01	1305.91	991	1066.87	1257	1404.75
"19054"	"t27147aep"	3.23	0	3.75	2.46	3.52	1.92
"19055"	"t27148aep"	330	508	492	390	449	486.41
"19056"	"t27149aep"	0	4	2	3	0	2.07
"19057"	"t2714aep"	34.84	58.34	34.61	64.63	49.87	62.24
"19058"	"t27150aep"	26.12	12	10	37	6	10
"19059"	"t27151aep"	7	3	6	14	6	9
"19060"	"t27152aep"	171	264	164	229.64	208	194
"19061"	"t27153aep"	0	0	0	0	0	0
"19062"	"t27154aep"	19	18	9	23	13	18
"19063"	"t27155aep"	15.11	25.46	15.21	41	19.54	33.87
"19064"	"t27156aep"	1694.16	1738	1734	2034.04	1630.98	1713
"19065"	"t27157aep"	243.59	207.73	174.21	375.59	196.89	288.2
"19066"	"t27158aep"	194	161	113	235.07	120	198
"19067"	"t27159aep"	0	0	0	0	0	0
"19068"	"t2715aep"	1.2	6.66	3.39	1.37	8.13	10.76
"19069"	"t27160aep"	655.04	1900.92	1664.89	1061.13	1805.12	1461.76
"19070"	"t27161aep"	4	5.26	6.95	14	5	3
"19071"	"t27162aep"	0	0	0	0	0.89	0
"19072"	"t27163aep"	78	112	77.19	154	126.29	113
"19073"	"t27164aep"	1369	1523	1153	1745.14	1491	1621.31
"19074"	"t27165aep"	162.99	170	146	180	186	159
"19075"	"t27166aep"	100	111.4	86.44	355	171	138
"19076"	"t27167aep"	69.97	46.57	48	105.23	48.96	83.92
"19077"	"t27168aep"	5	3	3.99	8.85	4.02	9
"19078"	"t27169aep"	626	804.44	786	787	793	707
"19079"	"t2716aep"	14	26	12	9	18.32	14
"19080"	"t27170aep"	4	3	1	5	5	2
"19081"	"t27171aep"	137	185	183	171	182	187
"19082"	"t27172aep"	17	4	1	85	37	6
"19083"	"t27173aep"	7	20	16	14	13	18
"19084"	"t27174aep"	78.96	81	58.09	143.67	90.62	48.16
"19085"	"t27175aep"	0	0	0	0	0	0
"19086"	"t27176aep"	302	373	350	398.39	343.91	332.51
"19087"	"t27177aep"	9	6	2	28	18	5
"19088"	"t27178aep"	0	0	0	0	0	0
"19089"	"t27179aep"	2	6	8	12	15	5
"19090"	"t2717aep"	315	294	239	456	315	295
"19091"	"t27180aep"	0	0	1	1	0	1
"19092"	"t27181aep"	17	12.05	6	29.91	17	16
"19093"	"t27182aep"	1	1	2	2	2	2
"19094"	"t27183aep"	1	2	2	2	3	4
"19095"	"t27184aep"	17.46	10.75	6.36	19.35	12.71	10.88
"19096"	"t27185aep"	0	0	0	0	0	0
"19097"	"t27186aep"	42.61	15	11	35	17.38	31.34
"19098"	"t27187aep"	27.02	25	22	28	23	25
"19099"	"t27188aep"	3	0	0	2	1	1
"19100"	"t27189aep"	5	10	4	4	5	3
"19101"	"t2718aep"	46.32	37.23	52.82	100.25	58.29	77.42
"19102"	"t27190aep"	0	0	0	0	0	0
"19103"	"t27191aep"	1	1	0	0	0	0
"19104"	"t27192aep"	7	11	8	14.96	10	6
"19105"	"t27193aep"	17	20	17	15	24	19
"19106"	"t27194aep"	12.77	10.44	6.63	18.2	14.83	10.35
"19107"	"t27195aep"	2	2	0	0	4	4
"19108"	"t27196aep"	0	0	1	2	3	1
"19109"	"t27197aep"	3	2	1	5	3	2
"19110"	"t27198aep"	58	46	32	80	71	45
"19111"	"t27199aep"	0	0	0	0	0	0
"19112"	"t2719aep"	42.05	39.07	26.16	50.22	42.99	46.75
"19113"	"t271aep"	3	0	0	4	1	2
"19114"	"t27200aep"	19	27	27	30.39	17.23	18
"19115"	"t27201aep"	64	92	110	76	82	68
"19116"	"t27202aep"	0	0	0	0	0	0
"19117"	"t27203aep"	0	0	0	0	0	0
"19118"	"t27204aep"	235	216.95	290	539	238	326
"19119"	"t27205aep"	8	9	4	10	2	10
"19120"	"t27206aep"	3	4	7	15	4	4
"19121"	"t27207aep"	1	1	2	1	0	0
"19122"	"t27208aep"	66.99	67	68	98	90	82
"19123"	"t27209aep"	473	503	441	675	473	502
"19124"	"t2720aep"	2.02	3.98	5.08	5.13	8.35	7.43
"19125"	"t27210aep"	0	0	0	0	0	0
"19126"	"t27211aep"	305	425	358	447.94	395.96	510
"19127"	"t27212aep"	0	0.4	0	0	0	0
"19128"	"t27213aep"	20035.93	21391.79	21037.19	23790.68	20561.42	21071.39
"19129"	"t27214aep"	3.4	0	2.35	7.76	2.09	2.29
"19130"	"t27215aep"	0	0	0	0	0	0
"19131"	"t27216aep"	2	9.93	1	9.96	6	8
"19132"	"t27217aep"	401	473.42	448	563	405	636.09
"19133"	"t27218aep"	122	188	149	208.01	208.06	177
"19134"	"t27219aep"	0	0	0	0	0	0
"19135"	"t2721aep"	7.65	13.7	4.1	14.14	13.85	4.66
"19136"	"t27220aep"	29.98	23	11	126	59	33.84
"19137"	"t27221aep"	259	267	302	308	251	356
"19138"	"t27222aep"	4.07	8.83	10.34	12.66	8.65	8.99
"19139"	"t27223aep"	0	0	0	0	0	0
"19140"	"t27224aep"	0	0	0	0	0	0
"19141"	"t27225aep"	11.36	14.34	9.99	21.21	15.99	17.12
"19142"	"t27226aep"	1651	2099	1632	2206.01	1978.05	2093
"19143"	"t27227aep"	1264	2115.51	1478.01	1216.99	1733	2024.88
"19144"	"t27228aep"	21	8	9	25	16	14.01
"19145"	"t27229aep"	180.97	190.88	197.25	246.6	252.54	197
"19146"	"t2722aep"	463.92	259.38	174.67	1131.56	502.25	397.14
"19147"	"t27230aep"	15	14	7	24	13	14
"19148"	"t27231aep"	3.09	1.92	1.09	0	0	1.01
"19149"	"t27232aep"	2265	2658.89	2913.01	2424	2612.85	2542.33
"19150"	"t27233aep"	1011.98	1450.26	1355.05	1241.01	1279.12	1377.99
"19151"	"t27234aep"	0	0	0	0	0	0
"19152"	"t27235aep"	12	12	19	23	13	16
"19153"	"t27236aep"	574.03	548.85	424.41	797	624.97	583.09
"19154"	"t27237aep"	1123.25	809.29	628.85	1382.85	907.64	1106.06
"19155"	"t27238aep"	8	11	11	16	16	19
"19156"	"t27239aep"	5.91	6.89	6.93	8	9.97	6
"19157"	"t2723aep"	666	401	229.74	1647.99	715.98	481.91
"19158"	"t27240aep"	49.14	57.57	47.05	46.76	58.71	85.63
"19159"	"t27241aep"	11.02	9.69	12.02	33.38	25.33	9.59
"19160"	"t27242aep"	37.55	31.7	24.75	55.53	25.57	36.95
"19161"	"t27243aep"	265	265	260	287.53	271	294
"19162"	"t27244aep"	12	13	16	11	5	12
"19163"	"t27245aep"	51	61	39	83	59	57
"19164"	"t27246aep"	6.54	11.61	2.01	9.69	4.09	6.24
"19165"	"t27247aep"	6	10.18	7	25.97	17.18	15.28
"19166"	"t27248aep"	592	366	328	843	387	514
"19167"	"t27249aep"	10	11	6	10	5	8
"19168"	"t2724aep"	527.84	562.63	597	610.01	493	572
"19169"	"t27250aep"	418.99	557.31	402	556	576	511
"19170"	"t27251aep"	1109.84	971	825	1636.99	1085	1316.99
"19171"	"t27252aep"	296.99	337	340	414.04	374	316
"19172"	"t27253aep"	0	0	0	0	0	0
"19173"	"t27254aep"	107	142.99	75	149	135	138
"19174"	"t27255aep"	1030	1265.77	1030	1331.99	1246.97	1300
"19175"	"t27256aep"	365	303	278	421	268	463
"19176"	"t27257aep"	12	14	14	21	21.15	17.3
"19177"	"t27258aep"	1443	1289.71	909	2015.94	1442.62	1470
"19178"	"t27259aep"	61.02	38.18	34	70.94	45.91	70.45
"19179"	"t2725aep"	11	14	8.95	12	8	17
"19180"	"t27260aep"	159	252	221	186	159	272
"19181"	"t27261aep"	893	934	687	1146	934	1074.46
"19182"	"t27262aep"	8833.92	9541.36	6901.54	11013.7	9095.98	10818.87
"19183"	"t27263aep"	3	1	2	4	1	1
"19184"	"t27264aep"	13	6	4	6	6.94	6
"19185"	"t27265aep"	0	0	0	0	0	0
"19186"	"t27266aep"	0	0	0	0	0	0
"19187"	"t27267aep"	27	35.99	26	65	58	51.44
"19188"	"t27268aep"	662.99	812.01	605	785	776	808.49
"19189"	"t27269aep"	146.72	123.5	126.75	270.72	123.07	194.95
"19190"	"t2726aep"	80	122	91	146.01	101	163.02
"19191"	"t27270aep"	1	0	1	0	0	0
"19192"	"t27271aep"	0	0	0	0.71	0	7.86
"19193"	"t27272aep"	0	0	0	0	0	0
"19194"	"t27273aep"	0	0	0	0	0	0
"19195"	"t27274aep"	8	10	8	7	7	10
"19196"	"t27275aep"	33	26	17	36	20	22
"19197"	"t27276aep"	619.02	757	673	785	738.22	709.79
"19198"	"t27277aep"	0	0	0	0	0	0
"19199"	"t27278aep"	81	169.99	130	132	160	148
"19200"	"t27279aep"	0	0	0	0	0	0
"19201"	"t2727aep"	2.11	6.93	4.97	4.64	5.22	5.11
"19202"	"t27280aep"	5	6	0	4	4	5
"19203"	"t27281aep"	12	13	14	16	17	33
"19204"	"t27282aep"	1394	1687	1548	1606	1573.04	1593
"19205"	"t27283aep"	2	6	3	5	6	7
"19206"	"t27284aep"	0	0	0	0	0	0
"19207"	"t27285aep"	28	53	38	50.08	45.01	38.32
"19208"	"t27286aep"	707.29	710.99	596.5	1104.05	781.62	727.99
"19209"	"t27287aep"	235	254	197	361	239	284.04
"19210"	"t27288aep"	6	4	1	3	2	4
"19211"	"t27289aep"	5.6	5.6	2.13	7.21	6.1	9.9
"19212"	"t2728aep"	2	3	1.99	1	0	4
"19213"	"t27290aep"	139	66	69	162	91	70
"19214"	"t27291aep"	27.89	21.96	35.31	39.09	11.48	35.45
"19215"	"t27292aep"	0	0	0	0	0	0
"19216"	"t27293aep"	7	7.02	6	12.03	5	2
"19217"	"t27294aep"	54.94	156.97	183.29	47.99	95.84	117.48
"19218"	"t27295aep"	114.63	137	57.66	113.58	102.43	112.2
"19219"	"t27296aep"	72	74	73	88	84	100
"19220"	"t27297aep"	15	27	17	22	27	20
"19221"	"t27298aep"	5.26	4.36	1.02	5.18	2.12	2.05
"19222"	"t27299aep"	52.85	40.01	37.01	60.88	48.04	29.71
"19223"	"t2729aep"	28.03	26.46	28.29	45.46	28.54	47.01
"19224"	"t272aep"	6	13	5.93	14.99	20	12
"19225"	"t27300aep"	6.23	9.17	6.18	8.15	9.44	7.74
"19226"	"t27301aep"	1	2	3	10	3	4
"19227"	"t27302aep"	0	0	0	0	0	0
"19228"	"t27303aep"	0	1	0.55	0	0	0
"19229"	"t27304aep"	10	12	14	22	15	24
"19230"	"t27305aep"	1	2	1	2	0	3
"19231"	"t27306aep"	7	5	2	11	7	3
"19232"	"t27307aep"	12	10.97	11	6.99	9	11
"19233"	"t27308aep"	4	7.73	3.46	3.74	1.21	1.47
"19234"	"t27309aep"	5	6	0	6	1.43	0
"19235"	"t2730aep"	18	28.16	19	30	21.29	30.89
"19236"	"t27310aep"	2	3	5	6	6	11
"19237"	"t27311aep"	280.54	266	235.77	430.2	312.95	304.03
"19238"	"t27312aep"	1136.83	1153	942.95	1422.58	1225.26	1317
"19239"	"t27313aep"	4.99	7.96	4.79	7.38	6.13	9.17
"19240"	"t27314aep"	24.03	26.62	21.39	29.87	15.9	37.26
"19241"	"t27315aep"	36.97	50.38	42.61	54.14	38.1	31.74
"19242"	"t27316aep"	394.07	439.01	272.01	506.28	436.44	471.32
"19243"	"t27317aep"	8	14	11	8	8	17
"19244"	"t27318aep"	168	182	126	209	197	193
"19245"	"t27319aep"	101	148	148.46	133	142	171
"19246"	"t2731aep"	238	316	296	224	252	327
"19247"	"t27320aep"	55	62	47	77	42	88
"19248"	"t27321aep"	1197.3	1578.19	1122	2012	1710.73	2029
"19249"	"t27322aep"	0	0	0	0	0	0
"19250"	"t27323aep"	259.47	299.89	292	509.71	366.56	346.76
"19251"	"t27324aep"	4.94	10.6	9.14	11.09	5.5	13.83
"19252"	"t27325aep"	5.08	5.53	4.41	10.77	4.9	6.48
"19253"	"t27326aep"	0	0	0	0	0	0
"19254"	"t27327aep"	4.74	10.02	3.47	2.91	4.89	8
"19255"	"t27328aep"	2	4.24	2	2	5.64	1.18
"19256"	"t27329aep"	4	1	3	0	3	4
"19257"	"t2732aep"	209	301	253.01	316	293.94	286
"19258"	"t27330aep"	184	214	213	165	207	257
"19259"	"t27331aep"	10	15	14	16	18	12
"19260"	"t27332aep"	363	554.99	375	482	501	512
"19261"	"t27333aep"	1.14	2.27	0	5.55	0	0
"19262"	"t27334aep"	34	29	32	54	47.82	31
"19263"	"t27335aep"	1	3	0	0	4	1
